Para 0 | Style: Mục lục | Text: Mục lục
Para 7 | Style: toc 1 | Text: CHƯƠNG 1. TỔNG QUAN VỀ ĐỀ TÀI VÀ CƠ SỞ LÝ THUYẾT	1
Para 30 | Style: toc 2 | Text: 1.6.	Tổng kết chương 1	25
Para 31 | Style: toc 1 | Text: CHƯƠNG 2. PHÂN TÍCH, THIẾT KẾ HỆ THỐNG	26
Para 32 | Style: toc 2 | Text: 2.1.	Phân tích bài toán và yêu cầu hệ thống	26
Para 43 | Style: toc 2 | Text: 2.3.	Thiết kế cơ sở dữ liệu	68
Para 46 | Style: toc 2 | Text: 2.4.	Tổng kết chương 2	72
Para 47 | Style: toc 1 | Text: CHƯƠNG 3. TRIỂN KHAI HỆ THỐNG TRÒ CHƠI MUTANTS ARENA	73
Para 84 | Style: toc 2 | Text: 3.6.	Tổng kết chương 3	128
Para 85 | Style: toc 1 | Text: CHƯƠNG 4. KẾT QUẢ TRIỂN KHAI VÀ ĐÁNH GIÁ HỆ THỐNG.	130
Para 87 | Style: toc 3 | Text: 4.1.1.	Tổng quan hệ thống đã xây dựng	130
Para 98 | Style: toc 2 | Text: 4.3.	Tổng kết chương 4	136
Para 99 | Style: toc 1 | Text: KẾT LUẬN	138
Para 103 | Style: UH1 | Text: DANH MỤC KÍ HIỆU VÀ VIẾT TẮT
Para 105 | Style: UH1 | Text: DANH MỤC HÌNH VẼ
Para 165 | Style: UH1 | Text: DANH MỤC BẢNG
Para 202 | Style: UH1 | Text: LỜI CẢM ƠN
Para 207 | Style: UH1 | Text: LỜI CAM ĐOAN
Para 213 | Style: UH1 | Text: LỜI NÓI ĐẦU
Para 226 | Style: Normal | Text: Cấu trúc báo cáo gồm bốn chương chính:
Para 236 | Style: Heading 1 | Text: TỔNG QUAN VỀ ĐỀ TÀI VÀ CƠ SỞ LÝ THUYẾT
Para 238 | Style: Heading 2 | Text: Giới thiệu đề tài
Para 239 | Style: Heading 3 | Text: Bối cảnh chọn đề tài
Para 243 | Style: Heading 3 | Text: 1.1.2. Mục tiêu của đề tài
Para 250 | Style: Heading 2 | Text: Khảo sát một số trò chơi tham khảo
Para 255 | Style: Heading 2 | Text: Đặc điểm gameplay của trò chơi
Para 256 | Style: Heading 3 | Text:  Hệ thống điều khiển và vật lý 2D
Para 259 | Style: Heading 4 | Text: Ground Detection (Phát hiện tiếp đất)
Para 261 | Style: Heading 4 | Text: Cơ chế nhảy (Jump Mechanics)
Para 266 | Style: Heading 4 | Text: Cơ chế Dash (Lướt nhanh)
Para 269 | Style: Heading 4 | Text: d) Hệ thống hoạt ảnh và Animator Controller
Para 274 | Style: Heading 3 | Text:  Hệ thống chiến đấu thời gian thực
Para 276 | Style: Heading 4 | Text: Hitbox và Hurtbox
Para 279 | Style: Heading 4 | Text: Hệ thống chỉ số nhân vật
Para 289 | Style: Heading 4 | Text: Hệ thống hồi chiêu 
Para 292 | Style: Heading 3 | Text:  Hệ thống kỹ năng và tương khắc nguyên tố
Para 293 | Style: Heading 4 | Text: Phân loại kỹ năng
Para 300 | Style: Heading 4 | Text: Hệ thống tương khắc nguyên tố Gene (Elemental Interaction)
Para 311 | Style: Heading 4 | Text:  Hệ thống hiệu ứng trạng thái (Status Effect)
Para 313 | Style: Heading 3 | Text: Hệ thống phát triển và tiến hóa nhân vật
Para 316 | Style: Heading 4 | Text: Hệ thống lên cấp
Para 322 | Style: Heading 4 | Text: Hệ thống Equipment
Para 330 | Style: Heading 4 | Text: Hệ thống Gene
Para 339 | Style: Heading 3 | Text: Hệ thống Gene Evolution
Para 343 | Style: Heading 4 | Text: Multi-Gene
